TRGID,timeStamp,Location
TRG-90554704,03/04/20 14:38:35,L2694904
TRG-89450097,03/04/20 14:38:52,L2694904
TRG-90074415,03/04/20 14:39:01,L2694904
TRG-88682518,03/04/20 14:39:12,L2694904
TRG-89755618,03/04/20 14:39:18,L2694904
TRG-91172773,03/04/20 14:39:23,L2694904
TRG-90611150,03/04/20 14:39:31,L2694904
TRG-90072519,03/04/20 14:39:54,L2694904
TRG-90122500,03/04/20 14:39:56,L2694904
TRG-90019237,03/04/20 14:39:59,L2694904
TRG-89756205,03/04/20 14:41:18,L2694904
TRG-89255452,03/04/20 14:41:21,L2694904
TRG-89756157,03/04/20 14:41:25,L2694904
TRG-89255450,03/04/20 14:41:29,L2694904
TRG-89756043,03/04/20 14:41:32,L2694904
TRG-89755850,03/04/20 14:41:38,L2694904
TRG-89756160,03/04/20 14:41:42,L2694904
TRG-90124085,03/04/20 14:41:47,L2694904
